Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
98206;Everett;WA;47.859918;-122.284785;-8;1;47.859918,-122.284785
99146;Laurier;WA;48.92816;-118.2897;-8;1;48.92816,-118.2897
99309;Mattawa;WA;46.731046;-119.901931;-8;1;46.731046,-119.901931
98105;Seattle;WA;47.66377;-122.30118;-8;1;47.66377,-122.30118
98262;Lummi Island;WA;48.699642;-122.66658;-8;1;48.699642,-122.66658
98371;Puyallup;WA;47.196272;-122.31577;-8;1;47.196272,-122.31577
98591;Toledo;WA;46.433226;-122.80083;-8;1;46.433226,-122.80083
99207;Spokane;WA;47.693741;-117.38829;-8;1;47.693741,-117.38829
99349;Mattawa;WA;46.726526;-119.8857;-8;1;46.726526,-119.8857
98671;Washougal;WA;45.594465;-122.28112;-8;1;45.594465,-122.28112
98282;Camano;WA;48.185511;-122.48209;-8;1;48.185511,-122.48209
98383;Silverdale;WA;47.667257;-122.69055;-8;1;47.667257,-122.69055
98073;Redmond;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98034;Kirkland;WA;47.71828;-122.19702;-8;1;47.71828,-122.19702
98315;Silverdale;WA;47.720777;-122.71309;-8;1;47.720777,-122.71309
98672;White Salmon;WA;45.786727;-121.47523;-8;1;45.786727,-121.47523
99165;Pullman;WA;46.838747;-117.644337;-8;1;46.838747,-117.644337
99135;Hartline;WA;47.641983;-119.08897;-8;1;47.641983,-119.08897
99138;Inchelium;WA;48.207661;-118.2979;-8;1;48.207661,-118.2979
98597;Yelm;WA;46.893352;-122.56719;-8;1;46.893352,-122.56719
99327;Cunningham;WA;46.828931;-118.829153;-8;1;46.828931,-118.829153
98836;Monitor;WA;47.481133;-120.41354;-8;1;47.481133,-120.41354
98255;Hamilton;WA;48.525461;-121.9887;-8;1;48.525461,-121.9887
98617;Dallesport;WA;45.632051;-121.16835;-8;1;45.632051,-121.16835
99008;Edwall;WA;47.50505;-117.93432;-8;1;47.50505,-117.93432
98130;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
99141;Kettle Falls;WA;48.690209;-118.10045;-8;1;48.690209,-118.10045
98222;Blakely Island;WA;48.586563;-122.80317;-8;1;48.586563,-122.80317
98492;Lakewood;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
98231;Blaine;WA;48.814753;-121.988548;-8;1;48.814753,-121.988548
98259;North Lakewood;WA;48.037258;-121.682271;-8;1;48.037258,-121.682271
98108;Seattle;WA;47.546188;-122.31514;-8;1;47.546188,-122.31514
98443;Tacoma;WA;47.202874;-122.37678;-8;1;47.202874,-122.37678
99352;Richland;WA;46.279657;-119.28137;-8;1;46.279657,-119.28137
99017;Lamont;WA;47.197445;-117.85558;-8;1;47.197445,-117.85558
99157;Northport;WA;48.897876;-117.81647;-8;1;48.897876,-117.81647
98629;La Center;WA;45.8768;-122.62193;-8;1;45.8768,-122.62193
98649;Toutle;WA;46.352771;-122.66054;-8;1;46.352771,-122.66054
98248;Ferndale;WA;48.852655;-122.61807;-8;1;48.852655,-122.61807
98596;Winlock;WA;46.493247;-122.92262;-8;1;46.493247,-122.92262
98191;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
99027;Otis Orchards;WA;47.703698;-117.12007;-8;1;47.703698,-117.12007
99328;Dayton;WA;46.319087;-117.96887;-8;1;46.319087,-117.96887
98033;Kirkland;WA;47.67903;-122.1934;-8;1;47.67903,-122.1934
98397;Longmire;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
98645;Silverlake;WA;46.318482;-122.7757;-8;1;46.318482,-122.7757
98243;Deer Harbor;WA;48.612763;-123.02057;-8;1;48.612763,-123.02057
98611;Castle Rock;WA;46.308371;-122.8987;-8;1;46.308371,-122.8987
98275;Mukilteo;WA;47.916148;-122.30293;-8;1;47.916148,-122.30293
98952;White Swan;WA;46.377579;-120.7144;-8;1;46.377579,-120.7144
98015;Bellevue;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
99219;Spokane;WA;47.653568;-117.431742;-8;1;47.653568,-117.431742
98134;Seattle;WA;47.57867;-122.33441;-8;1;47.57867,-122.33441
98673;Wishram;WA;45.661878;-120.94997;-8;1;45.661878,-120.94997
99039;Waverly;WA;47.329704;-117.244981;-8;1;47.329704,-117.244981
99103;Almira;WA;47.721863;-118.95554;-8;1;47.721863,-118.95554
98438;Tacoma;WA;47.151297;-122.567631;-8;1;47.151297,-122.567631
98424;Tacoma;WA;47.242186;-122.35916;-8;1;47.242186,-122.35916
98430;Camp Murray;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
98464;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
98226;Bellingham;WA;48.759079;-122.43597;-8;1;48.759079,-122.43597
98536;Copalis Crossing;WA;47.179475;-124.14241;-8;1;47.179475,-124.14241
99107;Boyds;WA;48.84269;-118.182764;-8;1;48.84269,-118.182764
99341;Lind;WA;46.912194;-118.63676;-8;1;46.912194,-118.63676
99144;Lamona;WA;47.60894;-118.399551;-8;1;47.60894,-118.399551
98368;Port Townsend;WA;48.100255;-122.79736;-8;1;48.100255,-122.79736
98609;Carrolls;WA;46.071482;-122.864838;-8;1;46.071482,-122.864838
99371;Washtucna;WA;46.782783;-118.2869;-8;1;46.782783,-118.2869
98324;Carlsborg;WA;48.18315;-123.872972;-8;1;48.18315,-123.872972
99401;Anatone;WA;46.086657;-117.2491;-8;1;46.086657,-117.2491
98059;Renton;WA;47.493031;-122.14169;-8;1;47.493031,-122.14169
98199;Seattle;WA;47.64767;-122.39758;-8;1;47.64767,-122.39758
98349;Lakebay;WA;47.268551;-122.76897;-8;1;47.268551,-122.76897
98685;Vancouver;WA;45.709555;-122.68473;-8;1;45.709555,-122.68473
99129;Fruitland;WA;48.003202;-118.21339;-8;1;48.003202,-118.21339
98614;Chinook;WA;46.282397;-123.93844;-8;1;46.282397,-123.93844
98674;Woodland;WA;45.928662;-122.70284;-8;1;45.928662,-122.70284
98446;Tacoma;WA;47.1309;-122.37589;-8;1;47.1309,-122.37589
99013;Ford;WA;47.889348;-117.82325;-8;1;47.889348,-117.82325
98345;Keyport;WA;47.702342;-122.62554;-8;1;47.702342,-122.62554
99361;Waitsburg;WA;46.209202;-118.15884;-8;1;46.209202,-118.15884
98647;Skamokawa;WA;46.296658;-123.46828;-8;1;46.296658,-123.46828
98251;Gold Bar;WA;47.851713;-121.66644;-8;1;47.851713,-121.66644
99156;Newport;WA;48.159752;-117.16984;-8;1;48.159752,-117.16984
98138;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98940;Ronald;WA;47.33394;-121.02979;-8;1;47.33394,-121.02979
98110;Bainbridge Island;WA;47.65526;-122.53508;-8;1;47.65526,-122.53508
98292;Stanwood;WA;48.222046;-122.38961;-8;1;48.222046,-122.38961
98944;Sunnyside;WA;46.342102;-119.99;-8;1;46.342102,-119.99
98731;Waller;WA;47.185462;-122.353089;-8;1;47.185462,-122.353089
98263;Lyman;WA;48.534462;-122.058644;-8;1;48.534462,-122.058644
98012;Bothell;WA;47.84311;-122.20457;-8;1;47.84311,-122.20457
98106;Seattle;WA;47.53282;-122.35443;-8;1;47.53282,-122.35443
99113;Colton;WA;46.577614;-117.16133;-8;1;46.577614,-117.16133
98168;Seattle;WA;47.491327;-122.3027;-8;1;47.491327,-122.3027
98291;Snohomish;WA;47.909511;-122.050108;-8;1;47.909511,-122.050108
98401;Tacoma;WA;47.253671;-122.444335;-8;1;47.253671,-122.444335
98466;Tacoma;WA;47.230402;-122.53272;-8;1;47.230402,-122.53272
98445;Tacoma;WA;47.148269;-122.41196;-8;1;47.148269,-122.41196
99223;Spokane;WA;47.614744;-117.35892;-8;1;47.614744,-117.35892
98343;Joyce;WA;48.18315;-123.872972;-8;1;48.18315,-123.872972
98467;University Place;WA;47.203946;-122.52996;-8;1;47.203946,-122.52996
99215;Spokane;WA;47.653568;-117.431742;-8;1;47.653568,-117.431742
98311;Bremerton;WA;47.629717;-122.63493;-8;1;47.629717,-122.63493
98494;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
98338;Graham;WA;47.028423;-122.291;-8;1;47.028423,-122.291
98353;Manchester;WA;47.553289;-122.54535;-8;1;47.553289,-122.54535
98184;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98590;Tokeland;WA;46.737458;-123.98121;-8;1;46.737458,-123.98121
98337;Bremerton;WA;47.569167;-122.63479;-8;1;47.569167,-122.63479
99209;Spokane;WA;47.646148;-117.793734;-8;1;47.646148,-117.793734
98082;Bothell;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98029;Issaquah;WA;47.572401;-122.02065;-8;1;47.572401,-122.02065
99016;Greenacres;WA;47.648693;-117.15116;-8;1;47.648693,-117.15116
98057;Renton;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98407;Tacoma;WA;47.28392;-122.50433;-8;1;47.28392,-122.50433
98686;Vancouver;WA;45.712623;-122.63419;-8;1;45.712623,-122.63419
99121;Danville;WA;48.977629;-118.51457;-8;1;48.977629,-118.51457
98010;Black Diamond;WA;47.317802;-122.01479;-8;1;47.317802,-122.01479
98272;Monroe;WA;47.860245;-121.93734;-8;1;47.860245,-121.93734
98025;Hobart;WA;47.430704;-121.88496;-8;1;47.430704,-121.88496
98294;Sultan;WA;47.86527;-121.78899;-8;1;47.86527,-121.78899
98245;Eastsound;WA;48.672312;-122.91972;-8;1;48.672312,-122.91972
98571;Pacific Beach;WA;47.216861;-124.1974;-8;1;47.216861,-124.1974
98041;Bothell;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98190;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98195;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
99335;Kahlotus;WA;46.648121;-118.55652;-8;1;46.648121,-118.55652
99033;Tekoa;WA;47.222328;-117.08133;-8;1;47.222328,-117.08133
98354;Milton;WA;47.248208;-122.31737;-8;1;47.248208,-122.31737
98812;Brewster;WA;48.112268;-119.75203;-8;1;48.112268,-119.75203
99127;Saint John;WA;46.838747;-117.644337;-8;1;46.838747,-117.644337
99152;Metaline;WA;48.858688;-117.39106;-8;1;48.858688,-117.39106
98532;Chehalis;WA;46.630721;-123.01599;-8;1;46.630721,-123.01599
98003;Federal Way;WA;47.311072;-122.31188;-8;1;47.311072,-122.31188
98050;Preston;WA;47.536015;-121.931195;-8;1;47.536015,-121.931195
98071;Auburn;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98625;Kalama;WA;46.015873;-122.79718;-8;1;46.015873,-122.79718
99004;Cheney;WA;47.466974;-117.60575;-8;1;47.466974,-117.60575
98257;La Conner;WA;48.393063;-122.50476;-8;1;48.393063,-122.50476
98286;Shaw Island;WA;48.575362;-122.96643;-8;1;48.575362,-122.96643
98164;Seattle;WA;47.606139;-122.33186;-8;1;47.606139,-122.33186
98384;South Colby;WA;47.521803;-122.539637;-8;1;47.521803,-122.539637
99301;Pasco;WA;46.270249;-119.09462;-8;1;46.270249,-119.09462
99110;Clayton;WA;48.012084;-117.57306;-8;1;48.012084,-117.57306
98851;Soap Lake;WA;47.400024;-119.4624;-8;1;47.400024,-119.4624
99224;Spokane;WA;47.632573;-117.49326;-8;1;47.632573,-117.49326
98935;Mabton;WA;46.177732;-120.02966;-8;1;46.177732,-120.02966
98922;Cle Elum;WA;47.19377;-120.91733;-8;1;47.19377,-120.91733
98530;Bucoda;WA;46.797382;-122.85123;-8;1;46.797382,-122.85123
98284;Sedro Woolley;WA;48.518653;-122.16545;-8;1;48.518653,-122.16545
98412;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
99324;College Place;WA;46.044936;-118.38466;-8;1;46.044936,-118.38466
98014;Carnation;WA;47.648232;-121.91265;-8;1;47.648232,-121.91265
98662;Vancouver;WA;45.671806;-122.57894;-8;1;45.671806,-122.57894
99034;Tumtum;WA;47.858074;-117.74582;-8;1;47.858074,-117.74582
98542;Ethel;WA;46.532624;-122.74407;-8;1;46.532624,-122.74407
98926;Ellensburg;WA;47.009726;-120.52364;-8;1;47.009726,-120.52364
98319;Duvall;WA;47.741268;-121.978279;-8;1;47.741268,-121.978279
98544;Galvin;WA;46.734909;-123.02536;-8;1;46.734909,-123.02536
98846;Pateros;WA;48.03925;-119.9395;-8;1;48.03925,-119.9395
98118;Seattle;WA;47.543348;-122.27496;-8;1;47.543348,-122.27496
98092;Auburn;WA;47.297285;-122.16328;-8;1;47.297285,-122.16328
98102;Seattle;WA;47.63287;-122.32253;-8;1;47.63287,-122.32253
98811;Ardenvoir;WA;47.737028;-120.37126;-8;1;47.737028,-120.37126
99256;Spokane;WA;47.653568;-117.431742;-8;1;47.653568,-117.431742
98643;Rosburg;WA;46.302905;-123.62473;-8;1;46.302905,-123.62473
98024;Fall City;WA;47.565642;-121.88638;-8;1;47.565642,-121.88638
98947;Tieton;WA;46.707735;-120.75713;-8;1;46.707735,-120.75713
99343;Mesa;WA;46.581454;-119.12107;-8;1;46.581454,-119.12107
98841;Omak;WA;48.403174;-119.39066;-8;1;48.403174,-119.39066
98005;Bellevue;WA;47.611021;-122.16858;-8;1;47.611021,-122.16858
98023;Federal Way;WA;47.309021;-122.36178;-8;1;47.309021,-122.36178
98585;Silver Creek;WA;46.528282;-122.57616;-8;1;46.528282,-122.57616
99299;Spokane;WA;47.653568;-117.431742;-8;1;47.653568,-117.431742
98121;Seattle;WA;47.61487;-122.34578;-8;1;47.61487,-122.34578
98856;Twisp;WA;48.359904;-120.13051;-8;1;48.359904,-120.13051
98375;Puyallup;WA;47.112477;-122.32247;-8;1;47.112477,-122.32247
98047;Pacific;WA;47.26619;-122.24463;-8;1;47.26619,-122.24463
98116;Seattle;WA;47.57487;-122.39392;-8;1;47.57487,-122.39392
98655;Hazel Dell North;WA;45.678557;-122.663954;-8;1;45.678557,-122.663954
99210;Spokane;WA;47.653568;-117.431742;-8;1;47.653568,-117.431742
98131;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
99021;Mead;WA;47.81108;-117.22306;-8;1;47.81108,-117.22306
99353;West Richland;WA;46.297139;-119.35457;-8;1;46.297139,-119.35457
99134;Harrington;WA;47.460312;-118.38258;-8;1;47.460312,-118.38258
98058;Renton;WA;47.448322;-122.14584;-8;1;47.448322,-122.14584
98117;Seattle;WA;47.685919;-122.37838;-8;1;47.685919,-122.37838
98505;Olympia;WA;47.065404;-122.976187;-8;1;47.065404,-122.976187
98237;Concrete;WA;48.497601;-121.70018;-8;1;48.497601,-121.70018
98365;Port Ludlow;WA;47.907561;-122.69416;-8;1;47.907561,-122.69416
98232;Bow;WA;48.559548;-122.41375;-8;1;48.559548,-122.41375
98465;Tacoma;WA;47.247735;-122.52818;-8;1;47.247735,-122.52818
98855;Tonasket;WA;48.689509;-119.32169;-8;1;48.689509,-119.32169
98239;Coupeville;WA;48.204162;-122.66723;-8;1;48.204162,-122.66723
98477;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
98546;Grapeview;WA;47.321442;-122.92935;-8;1;47.321442,-122.92935
98575;Quinault;WA;47.489864;-123.81031;-8;1;47.489864,-123.81031
98303;Anderson Island;WA;47.16438;-122.69584;-8;1;47.16438,-122.69584
98561;Menlo;WA;46.514625;-123.76903;-8;1;46.514625,-123.76903
98150;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98276;Nooksack;WA;48.834208;-122.335734;-8;1;48.834208,-122.335734
98631;Long Beach;WA;46.365773;-124.05022;-8;1;46.365773,-124.05022
98068;Snoqualmie Pass;WA;47.397811;-121.39603;-8;1;47.397811,-121.39603
98925;Easton;WA;47.3042;-121.24849;-8;1;47.3042,-121.24849
98418;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
98007;Bellevue;WA;47.610935;-122.14104;-8;1;47.610935,-122.14104
98408;Tacoma;WA;47.209021;-122.44498;-8;1;47.209021,-122.44498
98904;Yakima;WA;46.56451;-120.694658;-8;1;46.56451,-120.694658
99030;Rockford;WA;47.463725;-117.11319;-8;1;47.463725,-117.11319
98512;Olympia;WA;46.969793;-122.99802;-8;1;46.969793,-122.99802
98844;Oroville;WA;48.9332;-119.38169;-8;1;48.9332,-119.38169
99185;Wilbur;WA;47.756616;-118.70628;-8;1;47.756616,-118.70628
98857;Warden;WA;46.970666;-119.0672;-8;1;46.970666,-119.0672
98166;Seattle;WA;47.458821;-122.34943;-8;1;47.458821,-122.34943
98460;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
98508;Olympia;WA;46.978118;-122.702393;-8;1;46.978118,-122.702393
98348;La Grande;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
99337;Kennewick;WA;46.169982;-119.10456;-8;1;46.169982,-119.10456
98304;Ashford;WA;46.75523;-122.01544;-8;1;46.75523,-122.01544
98310;Bremerton;WA;47.58675;-122.62371;-8;1;47.58675,-122.62371
98339;Port Hadlock;WA;48.036882;-122.7599;-8;1;48.036882,-122.7599
98626;Kelso;WA;46.150433;-122.88566;-8;1;46.150433,-122.88566
98404;Tacoma;WA;47.212421;-122.4156;-8;1;47.212421,-122.4156
98416;Tacoma;WA;47.264577;-122.482076;-8;1;47.264577,-122.482076
98670;Wahkiacus;WA;45.859065;-121.14615;-8;1;45.859065,-121.14615
99218;Spokane;WA;47.751674;-117.4124;-8;1;47.751674,-117.4124
98616;Cougar;WA;46.06517;-122.29411;-8;1;46.06517,-122.29411
99153;Metaline Falls;WA;48.858518;-117.29833;-8;1;48.858518,-117.29833
98177;Seattle;WA;47.740886;-122.36978;-8;1;47.740886,-122.36978
98396;Wilkeson;WA;47.106024;-122.0451;-8;1;47.106024,-122.0451
98683;Vancouver;WA;45.604075;-122.51035;-8;1;45.604075,-122.51035
98355;Mineral;WA;46.711036;-122.0348;-8;1;46.711036,-122.0348
98250;Friday Harbor;WA;48.55113;-123.07563;-8;1;48.55113,-123.07563
98539;Doty;WA;46.637787;-123.2798;-8;1;46.637787,-123.2798
99136;Hay;WA;46.669207;-117.96015;-8;1;46.669207,-117.96015
99066;Deer Park;WA;47.951939;-117.472694;-8;1;47.951939,-117.472694
98236;Clinton;WA;47.962134;-122.40089;-8;1;47.962134,-122.40089
98329;Gig Harbor;WA;47.378121;-122.7222;-8;1;47.378121,-122.7222
99005;Colbert;WA;47.844289;-117.37274;-8;1;47.844289,-117.37274
99202;Spokane;WA;47.656692;-117.37899;-8;1;47.656692,-117.37899
98398;Paradise Inn;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
98637;Nahcotta;WA;46.514625;-123.76903;-8;1;46.514625,-123.76903
98951;Wapato;WA;46.457731;-120.46721;-8;1;46.457731,-120.46721
98358;Nordland;WA;48.058323;-122.68794;-8;1;48.058323,-122.68794
98522;Adna;WA;46.571323;-123.298384;-8;1;46.571323,-123.298384
